0, 1001, 用户信息, 1
0, 1002, 部门信息, 3
0, 1003, 审核信息, 4
0, 1004, 请假流程, 7
0, 1005, 系统监控, 5
0, 1006, 系统任务, 6
0, 1007, 系统图标, 2
1001, 1008, 用户1, 1
1001, 1009, 用户4, 4
1001, 1010, 用户3, 3
1001, 1011, 用户2, 2
1002, 1012, 部门1, 1
1002, 1013, 部门3, 3
1002, 1014, 部门2, 2
1002, 1015, 部门4, 4
1002, 1016, 部门5, 5
1003, 1017, 审核2, 2
1003, 1018, 审核1, 1
1003, 1019, 审核4, 4
1003, 1020, 审核3, 3
1003, 1021, 审核5, 5
1004, 1022, 请假4, 4
1004, 1023, 请假1, 1
1004, 1024, 请假3, 3
1004, 1025, 请假2, 2
1005, 1026, 监控1, 1
1005, 1027, 监控2, 2
1005, 1028, 监控3, 3
1005, 1029, 监控4, 4
1005, 1030, 监控5, 5
1005, 1031, 监控6, 6
1005, 1032, 监控7, 7
1005, 1033, 监控8, 8
1006, 1034, 任务1, 1
1006, 1035, 任务2, 2
1006, 1036, 任务3, 3
1006, 1037, 任务4, 4
1006, 1038, 任务5, 5
1006, 1039, 任务6, 6
1006, 1040, 任务7, 7
1006, 1041, 任务8, 8
1007, 1042, 图标1, 1
1007, 1043, 图标2, 2
1007, 1044, 图标3, 3
1007, 1045, 图标4, 4
1007, 1046, 图标5, 5
1007, 1047, 图标6, 6
1007, 1048, 图标7, 7
1007, 1049, 图标8, 8
1007, 1050, 图标9, 9
1007, 1051, 图标10, 10
1007, 1052, 图标11, 11
